Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CATEGORY,CHECK_PRICES,DESCRIPTION,HEIGHT,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,MPN,OPERATING_TEMP,PACKAGE,PARTREV,PART_STATUS,POPULARITY,PRICE,RATING,ROHS_COMPLIANT,SERIES,SIMULATION_DATA,SNAPEDA_LINK,SNAPEDA_PN,STANDARD,SUB-CATEGORY,THERMALLOSS,TOLERANCE,TP_SIGNAL_NAME,TYPE,VOLTAGE_RATING
1,MBR0530,MBR0530,SOD3716X135N,D6,"Compact Surface Mount Package with The Same Footprint as Mini-melf; Schottky Rectifier, 0.5A, 30V in SOD-123 Package",MBR0530,https://www.arrow.com/en/products/mbr0530/on-semiconductor?region=nac,,,,"Compact Surface Mount Package with The Same Footprint as Mini-melf; Schottky Rectifier"," 0.5A"," 30V in SOD-123 Package",1.35mm,,onsemi,MBR0530,,,512-MBR0530,https://www.mouser.co.uk/ProductDetail/onsemi-Fairchild/MBR0530?qs=VOMQJJE%252BBNniwJKcE3T43Q%3D%3D,,,,,,,,,,,,,,,,,,,
2,MBR230S1F-7,MBR230S1F-7,SODFL3518X115N,"D5, D7","Diodes Inc MBR230S1F-7, SMT Schottky Barrier Diode, 30V 2A, 2-Pin SOD123F",MBR230S1F-7,https://www.arrow.com/en/products/mbr230s1f-7/diodes-incorporated?region=nac,,,,"Diodes Inc MBR230S1F-7"," SMT Schottky Barrier Diode"," 30V 2A"," 2-Pin SOD123F",1.15mm,,"Diodes Incorporated",MBR230S1F-7,,,621-MBR230S1F-7,https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/MBR230S1F-7?qs=5V6w%252Be2aIqaf4rGxjeeHeQ%3D%3D,,,,,,,,,,,,,,,,,,
1,MKDV1GCL-AB,MKDV1GCL-AB,SON127P800X600X80-8N,IC9,"Embedded SD Flash",,,,,,"Embedded SD Flash",0.8mm,,MK,MKDV1GCL-AB,,,,,,,,,,,,,,,,,,,,,,,,,
1,MMBT3904,MMBT3904,SOT95P230X110-3N,Q7,"200 MA, NPN, SI, SMALL SIGNAL TRANSISTOR",,,,,,"200 MA"," NPN"," SI"," SMALL SIGNAL TRANSISTOR",1.1mm,,NXP,MMBT3904,,,,,,,,,,,,,,,,,,,,,,
1,MMBT3906,MMBT3906,SOT95P230X110-3N,Q10,"TRANSISTOR,BJT,PNP,40V V(BR)CEO,200MA I(C),SOT-23 65 +150 C ,100 mA,40 V",,,,,,TRANSISTOR,BJT,PNP,"40V V(BR)CEO","200MA I(C)","SOT-23 65 +150 C ","100 mA","40 V",1.1mm,,NXP,MMBT3906,,,N/A,https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/MMBT3906?qs=55YtniHzbhA96dkd8h4s7Q%3D%3D,,,,,,,,,,,,,,
1,MT9700,MT9700,SOT95P280X135-5N,IC8,ic,,,,,,ic,1.35mm,,Aerosemi,MT9700,,,,,,,,,,,,,,,,,,,,,,,,,
33,NC,JUMPER-SMT_2_NC_TRACE_NO-SILK,SMT-JUMPER_2_NC_TRACE_NO-SILK,"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP20, JP21, JP22, JP23, JP24, JP25, JP26, JP27, JP28, JP29, JP30, JP31, JP32, JP33, JP34, JP35","Normally closed trace jumper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NC,JUMPER-SMT_2_NO_NO-SILK,SMT-JUMPER_2_NO_NO-SILK,JP12,"Normally open jumper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NC,R_CHIP-0402(1005-METRIC),RESC1005X40,R1,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,PMEG2010AEH,PMEG2010AEH,SODFL3516X120N,D10,"Diode Schottky 20V 1A,PMEG2010AEH NXP PMEG2010AEH Schottky Diode, 1A, 20V, 2-Pin SOD123F",,,,,,"Diode Schottky 20V 1A","PMEG2010AEH NXP PMEG2010AEH Schottky Diode"," 1A"," 20V"," 2-Pin SOD123F",1.2mm,,Nexperia,PMEG2010AEH,,,N/A,https://www.mouser.co.uk/ProductDetail/Nexperia/PMEG2010AEH?qs=vHuUswq2%252BswpSqP6MnpTMw%3D%3D,,,,,,,,,,,,,,,,,
